Mean AUC	Standard Deviation of AUC	Intercept	ER+	ER-	TPN	Unknown	ER+xER-	ER+xTPN	ER-xTPN	ER+xUnknown	ER-xUnknown	TPNxUnknown
0.8435380537471759	0.003609534173436344	-3.636669337345681	1.7417611554817682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.8435380537471759	0.003609534173436344	-3.636669337345681	1.7417611554817682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.6595939327077808	0.005758114658544316	-1.4833971018298533	0.0	0.5979328396066101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.6595939327077808	0.005758114658544316	-1.4833971018298533	0.0	0.5979328396066101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.6683047187650419	0.003440760185392403	-1.2668725905505989	0.0	0.0	0.6292476592200752	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.6683047187650419	0.003440760185392403	-1.2668725905505989	0.0	0.0	0.6292476592200752	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.5082319487240466	0.004326611878133401	0.045567737980272846	0.0	0.0	0.0	-0.03098693749722435	0.0	0.0	0.0	0.0	0.0	0.0
0.5082319487240466	0.004326611878133401	0.045567737980272846	0.0	0.0	0.0	-0.03098693749722435	0.0	0.0	0.0	0.0	0.0	0.0
0.8837833904302123	0.0026761082514433175	-4.940380475409741	1.2227371571859802	0.28748534234316103	0.0	0.0	0.1680995532410256	0.0	0.0	0.0	0.0	0.0
0.8848282293051938	0.0027907232344385247	-6.657958831758077	2.0345408945696986	0.9839189815951096	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.8917974348758323	0.0018224588163839284	-6.575663792209444	2.1043514428573515	0.0	1.0826880847104945	0.0	0.0	0.005733335343410986	0.0	0.0	0.0	0.0
0.8918874158528107	0.0017611916230836633	-6.633759229123093	2.1271155534592143	0.0	1.1065140449143107	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.8435094126044099	0.003594004446985506	-3.4990924753044497	1.677530467082821	0.0	0.0	-0.06504180311815161	0.0	0.0	0.0	0.015533107356056942	0.0	0.0
0.8435164212685606	0.0035925052767162946	-3.6364394782427802	1.7415983048063883	0.0	0.0	7.33462180255221e-06	0.0	0.0	0.0	0.0	0.0	0.0
0.7527667272868614	0.0048836360859285345	-7.615138446759508	0.0	2.5008945687427917	2.954715804903856	0.0	0.0	0.0	-0.45436587804083234	0.0	0.0	0.0
0.7294101152021333	0.004968737213814135	-2.9514090703835127	0.0	0.6485733214940178	0.677630363794974	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.6600497840721895	0.005515778944766452	-1.2001682594209102	0.0	0.5168151828662455	0.0	-0.13735184183972393	0.0	0.0	0.0	0.0	0.019803903187361777	0.0
0.6599476925059391	0.00554747994036041	-1.4008416122799838	0.0	0.5984798749209522	0.0	-0.0402323039256059	0.0	0.0	0.0	0.0	0.0	0.0
0.6684008552421776	0.0033878524405703786	-1.3377314550788195	0.0	0.0	0.6965640645037758	0.03430621551698698	0.0	0.0	0.0	0.0	0.0	-0.016209462452233814
0.6684727643466777	0.0033462382210920297	-1.206050932807115	0.0	0.0	0.6299297184299971	-0.030027742581002947	0.0	0.0	0.0	0.0	0.0	0.0
0.9477475274182172	0.001445501297409936	-25.477835720601202	4.5803344943129405	5.743236499197539	7.538256050927474	0.0	-0.10134431424356172	-0.29539242078778033	-0.9735329739548438	0.0	0.0	0.0
0.9297041682789488	0.0016266847298822224	-11.277714798874031	2.643559665109652	1.2509901719150434	1.360748980740656	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.8838153171490346	0.002665618851785982	-4.40273709438254	1.1312911186086532	0.17122581717784313	0.0	-0.25382904096726977	0.16732292527742862	0.0	0.0	0.023037207455925048	0.029055880257626177	0.0
0.8848267725658658	0.0027757840741717108	-6.62460591558724	2.0348530888795455	0.9843876365582837	0.0	-0.015977264561187022	0.0	0.0	0.0	0.0	0.0	0.0
0.8917773435618809	0.0018211733505271277	-6.48332768835406	2.030262744271993	0.0	1.1308400286359401	-0.03113181642882201	0.0	0.004825554818744935	0.0	0.018897963370181223	0.0	-0.01066493115248391
0.8918626510521582	0.0017537169504006226	-6.641217934459586	2.127281605622386	0.0	1.106627369411728	0.005070811683926105	0.0	0.0	0.0	0.0	0.0	0.0
0.7529487404413889	0.0047258282198122765	-7.255268708156209	0.0	2.3889902644317678	2.963749230665809	-0.17013131014067476	0.0	0.0	-0.4546168584663632	0.0	0.027499331831128994	-0.0018547002004286118
0.7296079899559399	0.004789018292569068	-2.8690199144374984	0.0	0.6490248478113656	0.6775628775300925	-0.040073794259313095	0.0	0.0	0.0	0.0	0.0	0.0
0.9477626232688156	0.001398906413512927	-2.8805183413135067	-1.0886100632747415	1.4673547411248564	3.1199529846097516	-6.966631411280518	0.19992439001733553	0.046088874784852046	-0.7145734847373281	0.6933152752448811	0.48088342586750477	0.42072950235949447
0.9296876563505261	0.0016115666247013835	-0.001807558510850453	2.6593717485153134	1.2602507054406977	1.3704091186211036	-0.007223292000145755	0.0	0.0	0.0	0.0	0.0	0.0
